Subject;FO;IPR.2017;IPP.2017;SIOF.2017;IOK.2016;ZK.2017
Белгородская область;ЦФО;106.1;93.4;47.6;92679;213662
Брянская область;ЦФО;107.3;102.1;45.5;55754;85585
Владимирская область;ЦФО;100.6;103.2;48.4;50752;80270
Воронежская область;ЦФО;106.7;96.4;40.4;116084;244812
Ивановская область;ЦФО;101.2;104.2;48.3;22686;35094
Калужская область;ЦФО;115.1;101.5;41.9;83429;132016
Костромская область;ЦФО;108.6;102.1;50.6;40673;28024
Курская область;ЦФО;103.1;95.6;50.5;83515;168191
Липецкая область;ЦФО;103;97.6;55.8;110617;110965
Московская область;ЦФО;111.3;98.8;45;84272;1276576
Орловская область;ЦФО;96.7;100.3;50.3;57570;64243
Рязанская область;ЦФО;102;103.5;59.1;45101;81877
Смоленская область;ЦФО;102.8;103.5;55.2;61437;52693
Тамбовская область;ЦФО;110.1;91.8;60.6;100481;83320
Тверская область;ЦФО;101.8;101.6;50.3;71825;67531
Тульская область;ЦФО;106.2;107.3;47.6;74894;166200
Ярославская область;ЦФО;114.2;105.1;54.9;69505;147942
г. Москва;ЦФО;101;107.1;37;138582;8526599
Республика Карелия;СЗФО;103;104.3;52.8;55213;28942
Республика Коми;СЗФО;97.1;107;47.1;234582;20320
Ненецкий автономный округ;СЗФО;96.9;103.4;45.6;1952758;255
Архангельская область;СЗФО;132.4;106.1;50.9;74358;50384
Вологодская область;СЗФО;101;100.6;50.5;96271;53048
Калинингpадская область;СЗФО;102.8;105.4;38.5;91162;90107
Ленинградская область;СЗФО;100.7;106.5;45.2;147986;232675
Мурманская область;СЗФО;110.6;107.8;43.1;112508;27712
Новгородская область;СЗФО;109.6;98.1;46.9;128222;32474
Псковская область;СЗФО;106.5;99.4;46.6;42330;28179
г. Санкт-Петербург;СЗФО;105.7;99.5;38.3;129176;1491729
Республика Адыгея;ЮФО;104.2;97.3;55.4;42292;21181
Республика Калмыкия;ЮФО;99.6;94.5;49.8;32842;6966
Республика Крым;ЮФО;104.5;102.7;68.5;39167;21077
Краснодарский край;ЮФО;104.4;97.2;37.2;78503;731235
Астраханская область;ЮФО;134.1;129.9;50.1;115828;39938
Волгоградская область;ЮФО;103.5;110.9;51.3;72284;132679
Ростовская область;ЮФО;107.1;98.8;43.2;69557;351889
г. Севастополь;ЮФО;97.9;100.1;46.4;43897;2846
Республика Дагестан;СКФО;115.2;103.5;49.4;65886;26197
Республика Ингушетия;СКФО;110.8;110.9;53.5;43287;5553
Кабардино-Балкарская Республика;СКФО;101.5;90.9;40.4;41970;39730
Карачаево-Черкесская Республика;СКФО;113.3;101.3;37.6;44004;27042
Республика Северная Осетия – Алания;СКФО;102.4;124.3;54.9;36294;14371
Чеченская Республика;СКФО;100.2;106.8;57;43106;22584
Ставропольский край;СКФО;102;89.5;53.4;43863;168384
Республика Башкортостан;ПФО;102.6;109.6;54.5;87271;291096
Республика Марий Эл;ПФО;106.9;99.5;65.3;39788;58579
Республика Мордовия;ПФО;110.9;96.4;63.4;65135;99356
Республика Татарстан;ПФО;101.8;105.5;45.2;164172;620326
Удмуртская Республика;ПФО;100.2;99.2;65.1;57435;79803
Чувашская Республика;ПФО;103.1;103.5;60.6;40558;62793
Пермский край;ПФО;104.1;108.9;64.1;90910;190883
Кировская область;ПФО;102.1;104.6;53.1;44031;46512
Нижегородская область;ПФО;105;108.5;55.2;71300;316680
Оренбургская область;ПФО;100.1;117.4;62.8;83968;110518
Пензенская область;ПФО;103.4;99.1;51.8;48282;80078
Самарская область;ПФО;102.5;104.8;56.3;80122;402562
Саратовская область;ПФО;105;102.2;57.6;56913;135914
Ульяновская область;ПФО;107;102.5;50.6;56224;63621
Курганская область;УФО;101.4;105.4;57.6;34095;22351
Свердловская область;УФО;101.4;100.8;58.5;75849;557026
Ханты-Мансийский автономный округ – Югра;УФО;99.2;114.6;70.7;488417;193860
Ямало-Ненецкий автономный округ;УФО;109;100.1;56.8;2042850;149263
Тюменская область;УФО;103.6;101.2;50.3;163517;354221
Челябинская область;УФО;105.5;108;50.9;56629;370998
Республика Алтай;СФО;118.3;98.4;36;58132;13910
Республика Бурятия;СФО;94.1;83.6;37.7;34016;26359
Республика Тыва;СФО;110.5;100.1;42.5;33555;1963
Республика Хакасия;СФО;99;110;40.6;50699;11546
Алтайский край;СФО;104;100.6;51.4;31749;121013
Забайкальский край;СФО;100.2;99.1;36.5;79281;19212
Красноярский край;СФО;107.3;104.5;41.4;148362;431987
Иркутская область;СФО;104.2;108;48.3;102849;260694
Кемеровская область;СФО;102.8;113.4;50.5;61058;410212
Новосибирская область;СФО;104.3;104.2;49.7;58847;243548
Омская область;СФО;104.1;110.4;49.2;47304;111223
Томская область;СФО;99.6;108.4;60.3;96848;79333
Республика Саха (Якутия);ДФО;101.4;102.2;45;286682;139258
Камчатский край;ДФО;104.7;103.1;39.1;118249;27555
Приморский край;ДФО;118.5;101.7;40.6;67755;153521
Хабаровский край;ДФО;113.5;98.8;39.4;90029;157680
Амурская область;ДФО;101.2;95.6;40;161519;31259
Магаданская область;ДФО;107.2;101.4;42.3;286371;17315
Сахалинская область;ДФО;99.5;101.5;49.2;492514;26402
Еврейская автономная область;ДФО;140.3;101.2;36.6;78280;2291
Чукотский автономный округ;ДФО;92.2;111.7;46.9;255183;5857
